account_id,signup_date,attribution_source
acct_00001,01-01-2024,campaign_A
acct_00032,01-01-2024,campaign_A
acct_00063,01-01-2024,campaign_A
acct_00094,01-01-2024,campaign_A
acct_01025,01-01-2024,campaign_A
acct_01056,01-01-2024,campaign_A
acct_01087,01-01-2024,campaign_A
acct_01118,01-01-2024,campaign_A
acct_01229,01-01-2024,campaign_A
acct_00002,02-01-2024,campaign_A
acct_00033,02-01-2024,campaign_A
acct_00064,02-01-2024,campaign_A
acct_00095,02-01-2024,campaign_A
acct_01026,02-01-2024,campaign_A
acct_01057,02-01-2024,campaign_A
acct_01088,02-01-2024,campaign_A
acct_01119,02-01-2024,campaign_A
acct_01230,02-01-2024,campaign_A
acct_00003,03-01-2024,campaign_A
acct_00034,03-01-2024,campaign_A
acct_00065,03-01-2024,campaign_A
acct_00096,03-01-2024,campaign_A
acct_01027,03-01-2024,campaign_A
acct_01058,03-01-2024,campaign_A
acct_01089,03-01-2024,campaign_A
acct_01200,03-01-2024,campaign_A
acct_01231,03-01-2024,campaign_A
acct_00004,04-01-2024,campaign_A
acct_00035,04-01-2024,campaign_A
acct_00066,04-01-2024,campaign_A
acct_00097,01-01-2024,campaign_A
acct_01028,04-01-2024,campaign_A
acct_01059,04-01-2024,campaign_A
acct_01090,04-01-2024,campaign_A
acct_01201,04-01-2024,campaign_A
acct_00005,05-01-2024,campaign_A
acct_00036,05-01-2024,campaign_A
acct_00067,05-01-2024,campaign_A
acct_00098,05-01-2024,campaign_A
acct_01029,05-01-2024,campaign_A
acct_01060,05-01-2024,campaign_A
acct_01091,05-01-2024,campaign_A
acct_01202,05-01-2024,campaign_A
acct_00006,06-01-2024,campaign_A
acct_00037,06-01-2024,campaign_A
acct_00068,06-01-2024,campaign_A
acct_00099,06-01-2024,campaign_A
acct_01030,06-01-2024,campaign_A
acct_01061,06-01-2024,campaign_A
acct_01092,06-01-2024,campaign_A
acct_01203,06-01-2024,campaign_A
acct_00007,07-01-2024,campaign_A
acct_00038,07-01-2024,campaign_A
acct_00069,07-01-2024,campaign_A
acct_01000,07-01-2024,campaign_A
acct_01031,07-01-2024,campaign_A
acct_01062,07-01-2024,campaign_A
acct_01093,07-01-2024,campaign_A
acct_01204,07-01-2024,campaign_A
acct_00008,08-01-2024,campaign_A
acct_00039,08-01-2024,campaign_A
acct_00070,08-01-2024,campaign_A
acct_01001,08-01-2024,campaign_A
acct_01032,23-01-2024,campaign_A
acct_01063,08-01-2024,campaign_A
acct_01094,08-01-2024,campaign_A
acct_01205,08-01-2024,campaign_A
acct_00009,09-01-2024,campaign_A
acct_00040,09-01-2024,campaign_A
acct_00071,09-01-2024,campaign_A
acct_01002,09-01-2024,campaign_A
acct_01033,09-01-2024,campaign_A
acct_01064,09-01-2024,campaign_A
